fecha_venta,sucursal,codigo_articulo,producto,precio_venta,cantidad
2022-03-25,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.07,158
2022-03-30,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.06,517
2022-04-01,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.15,96
2022-04-02,CAGUA,001973,MARGARINA 500GR MAVESA.,9.22,347
2022-04-03,ACARIGUA,000386,HUEVOS A GRANEL,20.24,117
2022-04-03,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.22,282
2022-04-05,BARQUISIMETO,000386,HUEVOS A GRANEL,20.24,118
2022-04-05,IPSFA,000386,HUEVOS A GRANEL,20.24,729
2022-04-06,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.24,34
2022-04-06,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.24,181
2022-04-07,CAGUA,000386,HUEVOS A GRANEL,21.12,293
2022-04-07,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.22,168
2022-04-08,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.17,429
2022-04-09,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.17,573
2022-04-09,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.24,47
2022-04-09,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.24,222
2022-04-11,CAGUA,001973,MARGARINA 500GR MAVESA.,10.43,148
2022-04-11,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.43,177
2022-04-14,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,65
2022-04-16,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.48,121
2022-04-18,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.48,132
2022-04-19,CAGUA,000386,HUEVOS A GRANEL,21.27,263
2022-04-21,ACARIGUA,000386,HUEVOS A GRANEL,21.27,87
2022-04-22,ACARIGUA,000386,HUEVOS A GRANEL,21.27,120
2022-04-22,GUARENAS,000386,HUEVOS A GRANEL,21.27,299
2022-04-23,GUARENAS,000386,HUEVOS A GRANEL,21.27,440
